"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.521925000E0,1.118502422E1,-2.181638260E1,-2.017464817E0,2.459937968E1
2.531879000E0,9.842936196E0,-2.179113432E1,-8.580052221E-1,2.392641011E1
2.541833000E0,9.390941164E0,-1.963864560E1,-1.143142354E-1,2.176876764E1
2.551787000E0,9.527239176E0,-1.607699896E1,-5.768253390E-1,1.869681549E1
2.561741000E0,9.629968908E0,-1.229650624E1,-1.873220877E0,1.573052203E1
2.571695000E0,9.156227496E0,-8.877692454E0,-3.294610151E0,1.317210618E1
2.581649000E0,8.221095160E0,-6.142973667E0,-4.417552714E0,1.117306149E1
2.591603000E0,7.011593340E0,-3.957060508E0,-5.031450716E0,9.494012078E0
2.601557000E0,5.420358385E0,-1.892608051E0,-5.205765570E0,7.749983576E0
2.611512000E0,3.809220677E0,-2.541960061E-2,-4.781485755E0,6.113379945E0
2.621466000E0,2.390789655E0,1.718801905E0,-3.674804299E0,4.708963984E0
2.631420000E0,1.257292283E0,3.267634022E0,-1.977631098E0,4.021099445E0
2.641374000E0,1.674332660E-1,4.646930798E0,-2.695798843E-1,4.657754079E0
2.651328000E0,-1.022377471E0,5.913152949E0,8.852425759E-1,6.065829532E0
2.661282000E0,-2.120998541E0,7.084566007E0,1.637144369E0,7.574295479E0
2.671236000E0,-3.112966982E0,8.198555898E0,1.950114248E0,8.983864860E0
2.681190000E0,-3.804599622E0,9.019045385E0,1.934421490E0,9.977982984E0
2.691144000E0,-4.390506418E0,9.500866479E0,1.721625964E0,1.060693200E1
2.701098000E0,-4.974605255E0,9.386563938E0,1.212032057E0,1.069220752E1
2.711052625E0,-5.581163832E0,8.765231786E0,8.592286058E-1,1.042674215E1
2.721006625E0,-6.464123801E0,8.103142202E0,6.278051658E-1,1.038460155E1
2.730960625E0,-7.389534556E0,7.698052365E0,4.775378631E-1,1.068144529E1
2.740914625E0,-7.953500260E0,7.348250290E0,5.696684933E-1,1.084340679E1
2.750868625E0,-8.051784938E0,7.124325904E0,1.047035179E0,1.080201569E1
2.760822625E0,-7.862859061E0,7.013536370E0,1.742764818E0,1.067948848E1
2.770776625E0,-7.494857528E0,6.875148563E0,2.460413622E0,1.046394726E1
2.780730625E0,-7.004810570E0,6.680584801E0,3.069104093E0,1.015465333E1
2.790684625E0,-6.692410210E0,6.612453629E0,3.550977813E0,1.005596046E1
2.800638625E0,-6.497226643E0,6.637242900E0,3.928378161E0,1.008459728E1
2.810592625E0,-6.460609624E0,6.735574940E0,4.129939871E0,1.020606926E1
2.820546625E0,-6.300678921E0,6.913871748E0,4.171791902E0,1.024226660E1
2.830500625E0,-5.973811964E0,7.069735129E0,4.015729716E0,1.008928488E1
2.840454625E0,-5.652910922E0,7.423124471E0,3.571662046E0,9.990743144E0
2.850408625E0,-5.084315978E0,7.815864989E0,2.996880455E0,9.793840256E0
2.860363625E0,-4.566122278E0,8.035522077E0,2.362953254E0,9.539530166E0
2.870317625E0,-4.117415720E0,8.320649854E0,1.565324042E0,9.414699441E0
2.880271625E0,-3.677830233E0,8.630595553E0,7.664027417E-1,9.412809782E0
2.890225625E0,-3.314204171E0,8.804147345E0,7.565719642E-2,9.407586501E0
2.900179625E0,-2.829726686E0,8.665471855E0,-5.168974451E-1,9.130440217E0
2.910133625E0,-1.658682588E0,7.771853582E0,-1.323861079E0,8.056397717E0
2.920087625E0,-5.351693362E-2,5.816104957E0,-2.408362877E0,6.295248421E0
2.930041625E0,1.348888624E0,3.151329979E0,-3.598716820E0,4.970024538E0
2.939995625E0,2.881309068E0,-4.619920170E-1,-4.739098120E0,5.565467596E0
2.949949625E0,3.597390672E0,-4.671172185E0,-4.973566790E0,7.713458099E0
2.959903625E0,3.439198930E0,-7.707985030E0,-4.295323688E0,9.470529451E0
2.969857625E0,5.551769294E0,-1.059658616E1,-3.883054054E0,1.257727671E1
2.979811625E0,8.165313308E0,-1.300735107E1,-3.098424371E0,1.566728301E1
2.989765625E0,1.129732467E1,-1.516226522E1,-1.732831714E0,1.898753636E1
2.999719625E0,1.387130408E1,-1.727557993E1,-4.457940602E-1,2.215981659E1
3.009673625E0,1.413837917E1,-1.791776793E1,3.014274021E-1,2.282610417E1
3.019627625E0,1.355787344E1,-1.836056705E1,8.676858723E-1,2.284029846E1
3.029581625E0,1.283363264E1,-1.939941613E1,2.150515870E0,2.335945614E1
3.039535625E0,1.149400396E1,-2.047519037E1,3.170381377E0,2.369381493E1
3.049489625E0,9.532707492E0,-2.052158686E1,3.264233573E0,2.286182976E1
3.059443625E0,7.821667766E0,-1.940141938E1,2.101357158E0,2.102401633E1
3.069397625E0,6.497014389E0,-1.724570768E1,2.991868953E-1,1.843136300E1
3.079351625E0,5.726494623E0,-1.433321307E1,-1.567257132E0,1.551418810E1
3.089306625E0,5.234605207E0,-1.054165742E1,-3.217285402E0,1.220158015E1
3.099260625E0,5.263778136E0,-7.351591389E0,-4.465892816E0,1.008451560E1
3.109214625E0,4.478729208E0,-3.814201920E0,-4.682783586E0,7.519016805E0
3.119168625E0,3.564414715E0,-9.950756514E-1,-4.264985994E0,5.646709957E0
3.129122625E0,2.657672365E0,1.538925179E0,-3.552784603E0,4.696146457E0
3.139076625E0,2.032499762E0,4.150354840E0,-2.490896326E0,5.249863340E0
3.149030625E0,1.394684894E0,6.559763199E0,-9.667669415E-1,6.775712324E0
3.158984625E0,5.721003503E-1,8.940381038E0,5.696671776E-1,8.976760697E0
3.168938625E0,-7.735620725E-1,1.038517423E1,1.537402418E0,1.052681568E1
3.178892625E0,-2.861779953E0,1.120810902E1,2.323015748E0,1.179863952E1
3.188846625E0,-4.815099059E0,1.118040959E1,2.162957722E0,1.236386362E1
3.198800625E0,-6.224817730E0,1.012627122E1,1.800959086E0,1.202219523E1
