"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.812486292E0,-1.691777828E0,3.370393574E-1,9.360725677E-1,1.962635881E0
2.822439292E0,-1.635893649E0,3.499973720E-1,1.194501958E0,2.055597509E0
2.832393292E0,-1.599054437E0,4.481539965E-1,1.294264812E0,2.105454464E0
2.842347292E0,-1.404146858E0,5.741398591E-1,1.292635778E0,1.993030916E0
2.852300292E0,-1.225363562E0,7.124563301E-1,1.171301376E0,1.838765019E0
2.862254292E0,-1.085603414E0,8.635495520E-1,9.960427809E-1,1.707733534E0
2.872207292E0,-9.525260478E-1,9.244921571E-1,8.479854333E-1,1.575141554E0
2.882161292E0,-9.902581304E-1,1.044811483E0,7.574471462E-1,1.626643286E0
2.892114292E0,-9.683895439E-1,1.249056480E0,6.611797571E-1,1.713207247E0
2.902068292E0,-8.625566947E-1,1.420372882E0,5.979082425E-1,1.766057032E0
2.912022292E0,-7.447551799E-1,1.569017290E0,4.703780937E-1,1.799369635E0
2.921975292E0,-5.594399589E-1,1.641650818E0,2.882642233E-1,1.758148668E0
2.931929292E0,-3.620689487E-1,1.620286261E0,1.106550113E-1,1.663930895E0
2.941882292E0,-3.582396072E-1,1.530878241E0,6.685234945E-2,1.573655948E0
2.951836292E0,-4.391685802E-1,1.320736327E0,2.500039179E-2,1.392062681E0
2.961789292E0,-3.064818084E-1,9.172913110E-1,8.707673550E-3,9.671764429E-1
2.971743292E0,-2.299394166E-1,4.308240187E-1,5.606774490E-2,4.915537229E-1
2.981697292E0,-1.797860938E-1,-2.907001734E-2,1.134699341E-1,2.145775649E-1
2.991650292E0,-1.762830269E-1,-3.506054825E-1,2.767451720E-1,4.801955853E-1
3.001604292E0,3.237252474E-2,-5.072681773E-1,4.859093948E-1,7.031905318E-1
3.011557292E0,4.783870250E-1,-4.886670148E-1,6.721806356E-1,9.588933225E-1
3.021511292E0,1.011011068E0,-4.620791405E-1,7.639211833E-1,1.348790601E0
3.031464292E0,1.476529541E0,-4.634105515E-1,7.414842474E-1,1.716009241E0
3.041418292E0,1.669672430E0,-5.231579858E-1,6.658797491E-1,1.872136785E0
3.051372292E0,1.621604809E0,-6.314642072E-1,6.653113997E-1,1.863058898E0
3.061325292E0,1.505239370E0,-7.199384272E-1,6.770140902E-1,1.800667925E0
3.071279292E0,1.581174236E0,-8.580344582E-1,6.660890794E-1,1.918335153E0
3.081232292E0,1.669087708E0,-1.123943022E0,5.555194008E-1,2.087511317E0
3.091186292E0,1.669309902E0,-1.463439964E0,3.739844779E-1,2.251247758E0
3.101139292E0,1.496708282E0,-1.774043475E0,2.751886797E-1,2.337326409E0
3.111093292E0,1.207906115E0,-1.947156726E0,2.469956716E-1,2.304661225E0
