"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.329484500E0,-1.669780603E1,-7.904948489E0,9.447531102E0,2.074995857E1
2.339511500E0,-2.033836553E1,-1.038425973E1,1.002649082E1,2.494017804E1
2.349537500E0,-2.277878518E1,-1.213085345E1,1.091081085E1,2.801921578E1
2.359564500E0,-2.463942533E1,-1.300075775E1,1.145693378E1,3.012278730E1
2.369591500E0,-2.522497720E1,-1.294491100E1,1.150748646E1,3.059889606E1
2.379617500E0,-2.435402274E1,-1.143160130E1,1.203305760E1,2.947192574E1
2.389644500E0,-2.233981131E1,-9.211611153E0,1.272434116E1,2.730988479E1
2.399671500E0,-1.923306869E1,-6.594127870E0,1.291154094E1,2.408529309E1
2.409697500E0,-1.603227478E1,-4.088318513E0,1.266735186E1,2.083770587E1
2.419724500E0,-1.323896163E1,-2.174669256E0,1.184511171E1,1.789709370E1
2.429751500E0,-1.066950562E1,-6.441786852E-1,1.102398956E1,1.535518356E1
2.439777500E0,-7.659424489E0,7.237198216E-1,1.035990257E1,1.290419060E1
2.449804500E0,-4.050641102E0,2.030649996E0,8.868033439E0,9.958576696E0
2.459831500E0,-3.589202231E-1,2.858002944E0,6.685150892E0,7.279302645E0
2.469857500E0,2.861872923E0,3.188669128E0,4.319850419E0,6.084327003E0
2.479884500E0,5.151991067E0,3.357246402E0,2.337630279E0,6.578649609E0
2.489911500E0,6.836724755E0,3.370318145E0,7.164277589E-1,7.655920487E0
2.499937500E0,8.047269133E0,3.331677990E0,-6.976383162E-1,8.737580784E0
2.509964500E0,8.720883579E0,3.010974291E0,-1.716247256E0,9.384310376E0
2.519991500E0,9.446342947E0,2.571454293E0,-2.705196195E0,1.015696110E1
2.530017500E0,1.021836019E1,2.764267691E0,-3.366269533E0,1.110800753E1
2.540044500E0,1.071371291E1,3.400136021E0,-3.591006682E0,1.179999569E1
2.550071500E0,1.095781311E1,3.927451670E0,-3.860827033E0,1.226395247E1
2.560097500E0,1.091870342E1,4.325160860E0,-4.436392443E0,1.255414986E1
2.570124500E0,1.060260412E1,4.333377367E0,-4.959466229E0,1.248157357E1
2.580151500E0,1.013524903E1,3.963101559E0,-5.700782077E0,1.228529052E1
2.590177500E0,9.477669405E0,3.772739314E0,-6.634264913E0,1.216853525E1
2.600204500E0,8.902371798E0,3.582565349E0,-7.190038667E0,1.199098220E1
2.610231500E0,8.446632793E0,3.382365456E0,-7.352127578E0,1.169785372E1
2.620257500E0,7.767499160E0,3.216019480E0,-6.973641402E0,1.092284299E1
2.630284500E0,6.989140617E0,3.256228150E0,-6.582041091E0,1.013776964E1
2.640311500E0,6.342511071E0,3.663649273E0,-6.338733185E0,9.686553106E0
2.650337500E0,5.766637512E0,4.233186496E0,-5.944680551E0,9.301247388E0
2.660364500E0,5.313104078E0,4.619470812E0,-5.463082820E0,8.911445417E0
2.670391500E0,5.056887274E0,4.736863314E0,-4.755739880E0,8.403989812E0
2.680417500E0,5.052864389E0,4.833302611E0,-4.179305574E0,8.146094018E0
2.690444500E0,5.311531177E0,4.856095642E0,-4.116204761E0,8.290788260E0
2.700471500E0,5.487090318E0,4.782243262E0,-4.288363747E0,8.447962737E0
2.710497500E0,5.535028131E0,4.575582196E0,-4.302354965E0,8.371543889E0
2.720524500E0,5.828188813E0,4.110720365E0,-4.303988092E0,8.330073244E0
2.730551500E0,6.178114264E0,3.584858627E0,-4.551208370E0,8.469581150E0
2.740577500E0,6.376357094E0,3.175820164E0,-4.781478739E0,8.579411544E0
2.750604500E0,6.560895805E0,2.720572618E0,-4.978669655E0,8.673754704E0
2.760631500E0,6.588394675E0,2.226995696E0,-5.092909631E0,8.619987398E0
2.770657500E0,6.385311520E0,1.703083420E0,-5.083327214E0,8.337440369E0
2.780684500E0,6.211373227E0,1.053739304E0,-4.755568557E0,7.893475545E0
2.790711500E0,5.634553589E0,-1.211987472E-1,-3.978751924E0,6.898793384E0
2.800738500E0,4.704363320E0,-1.925387250E0,-2.683133481E0,5.747813113E0
2.810764500E0,2.440223186E0,-4.043900431E0,-7.460357201E-1,4.781672217E0
2.820791500E0,-1.330489483E0,-6.459534906E0,2.090740954E0,6.918597488E0
2.830818500E0,-6.310908040E0,-9.487048924E0,5.123867714E0,1.249342539E1
2.840844500E0,-1.176093754E1,-1.350868667E1,7.888352922E0,1.957116192E1
2.850871500E0,-1.582830986E1,-1.666500900E1,8.656544327E0,2.456000158E1
2.860898500E0,-1.828188341E1,-1.614414487E1,7.359122602E0,2.547581913E1
2.870924500E0,-2.063594670E1,-1.303837406E1,6.360086632E0,2.522483293E1
2.880951500E0,-2.201016400E1,-9.610211166E0,6.004298762E0,2.475591004E1
2.890978500E0,-2.174767080E1,-7.349795709E0,6.959860684E0,2.398792077E1
2.901004500E0,-2.080799050E1,-7.161433504E0,8.990096989E0,2.377142070E1
2.911031500E0,-1.956701604E1,-8.016437935E0,1.060765611E1,2.365700239E1
2.921058500E0,-1.789384815E1,-7.796292019E0,1.156217664E1,2.268602873E1
2.931084500E0,-1.565794538E1,-6.748461619E0,1.217970577E1,2.095371615E1
2.941111500E0,-1.293844982E1,-5.108212379E0,1.251892029E1,1.871418400E1
2.951138500E0,-9.900711365E0,-3.072001973E0,1.173202305E1,1.565572249E1
2.961165500E0,-7.114971528E0,-1.118400739E0,9.802880430E0,1.216429631E1
2.971191500E0,-4.585819793E0,4.950463271E-1,7.277132360E0,8.615768650E0
2.981218500E0,-2.039930989E0,1.691578731E0,4.976864035E0,5.638433529E0
2.991245500E0,4.730847698E-1,2.700053277E0,2.949408665E0,4.026550431E0
3.001271500E0,2.741947700E0,3.598019540E0,1.233881201E0,4.688974794E0
3.011298500E0,4.583238832E0,4.543613129E0,-2.518518573E-1,6.458632039E0
3.021325500E0,6.114077897E0,5.248604611E0,-1.683361931E0,8.231859224E0
3.031351500E0,7.420466326E0,5.634710879E0,-2.962487133E0,9.776994282E0
3.041378500E0,8.567946730E0,5.847923166E0,-4.103320129E0,1.115549876E1
3.051405500E0,9.564707549E0,6.131497337E0,-4.978395420E0,1.240416507E1
3.061431500E0,1.026990339E1,6.610902947E0,-5.397685221E0,1.335327522E1
3.071458500E0,1.073329289E1,6.979886813E0,-5.511724638E0,1.393920746E1
3.081485500E0,1.108949942E1,7.203606547E0,-5.164088371E0,1.419636409E1
3.091512500E0,1.157688824E1,7.316492307E0,-4.216760206E0,1.432956620E1
3.101538500E0,1.189989545E1,7.339952506E0,-3.055881785E0,1.431156273E1
3.111565500E0,1.168341164E1,7.224951807E0,-1.793487806E0,1.385347013E1
3.121592500E0,1.117926120E1,6.846707706E0,-7.197299740E-1,1.312902505E1
3.131618500E0,1.045137875E1,6.299417092E0,8.787868112E-2,1.220334774E1
3.141645500E0,9.462694101E0,5.874046771E0,3.149702114E-1,1.114209188E1
3.151672500E0,8.434289321E0,5.718603221E0,-1.724873069E-1,1.019163436E1
3.161698500E0,7.433127303E0,5.687370318E0,-1.020955428E0,9.414877196E0
3.171725500E0,6.500691118E0,5.499663586E0,-1.969400704E0,8.739783962E0
3.181752500E0,5.700641159E0,5.225739659E0,-3.000399309E0,8.295062424E0
3.191778500E0,5.069355292E0,4.822870886E0,-3.828900066E0,7.976147088E0
3.201805500E0,4.753546005E0,4.508958436E0,-4.505992436E0,7.951784305E0
3.211832500E0,4.594101790E0,4.256078638E0,-4.862481387E0,7.928663309E0
3.221858500E0,4.636753135E0,4.033939115E0,-5.076260269E0,7.971233451E0
3.231885500E0,4.772920754E0,4.097533140E0,-5.169542069E0,8.142156690E0
3.241912500E0,4.935979718E0,4.368715307E0,-4.952839580E0,8.245009952E0
3.251939500E0,5.323090537E0,4.560255474E0,-4.382804174E0,8.266812885E0
